,City,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng
315,Melo,58.57,97,58,6.42,UY,1638768978,-32.3667,-54.1833
316,Naliya,81.84,23,1,12.68,IN,1638768978,23.2667,68.8333
317,Kot Addu,58.86,29,0,8.3,PK,1638768978,30.4692,70.9671
318,Port-Gentil,75.16,94,90,6.91,GA,1638768979,-0.7193,8.7815
319,Road Town,79.0,68,61,21.61,VG,1638768979,18.4167,-64.6167
320,Sitka,35.49,69,90,5.75,US,1638768894,57.0531,-135.33
321,Bajil,79.23,58,0,2.95,YE,1638768980,15.0584,43.2851
322,Winslow,37.58,52,1,0.0,US,1638768980,35.0242,-110.6974
323,Brownsville,76.98,89,1,4.0,US,1638768975,25.9018,-97.4975
324,Vizianagaram,81.91,71,84,5.08,IN,1638768981,18.1167,83.4167
325,Yeppoon,85.78,70,39,15.7,AU,1638768982,-23.1333,150.7333
326,Raja,77.54,22,96,7.63,SS,1638768982,8.4596,25.678
327,Santa Rosalía,66.09,43,0,3.4,MX,1638768982,27.3167,-112.2833
328,Kununurra,93.18,52,100,6.91,AU,1638768983,-15.7667,128.7333
329,Solnechnyy,19.87,93,85,2.17,RU,1638768983,50.7214,136.6319
330,Nizhnyaya Poyma,32.23,87,100,11.54,RU,1638768984,56.1622,97.1933
331,Nemuro,45.03,75,43,21.3,JP,1638768984,43.3236,145.575
332,Eilat,58.84,44,0,0.0,IL,1638768985,29.5581,34.9482
333,Mar del Plata,61.88,85,40,1.99,AR,1638768985,-38.0023,-57.5575
334,Nantucket,48.31,68,90,14.97,US,1638768843,41.2835,-70.0995
335,Cururupu,74.71,97,68,2.89,BR,1638768986,-1.8283,-44.8683
336,Northam,45.09,88,100,14.16,GB,1638768986,51.0333,-4.2167
337,Noumea,86.0,99,83,11.03,NC,1638768988,-22.2763,166.4572
338,Tiarei,82.42,74,63,16.75,PF,1638768988,-17.5333,-149.3333
339,Ballina,73.36,82,90,9.22,AU,1638768989,-28.8667,153.5667
340,Omsukchan,-33.65,99,27,3.02,RU,1638768989,62.5333,155.8
341,Igarka,-24.36,97,99,14.23,RU,1638768990,67.4667,86.5833
342,São Filipe,75.49,72,62,11.18,CV,1638768990,14.8961,-24.4956
343,Padang,87.85,64,50,7.38,ID,1638768991,-0.9492,100.3543
344,Berck,40.51,100,90,4.61,FR,1638768957,50.4,1.6
345,Rundu,71.49,68,96,5.39,NA,1638768991,-17.9333,19.7667
346,Airai,70.2,77,98,2.39,TL,1638768992,-8.9266,125.4092
347,Umluj,73.63,51,37,9.37,SA,1638768992,25.0213,37.2685
348,San José del Potrero,64.53,98,26,1.59,HN,1638768993,14.8333,-87.2833
349,Niquelândia,68.4,96,5,0.34,BR,1638768993,-14.4739,-48.4597
350,Paraná,70.56,75,18,6.38,AR,1638768994,-31.732,-60.5238
351,Savannah Bight,77.0,78,7,9.71,HN,1638768994,16.45,-85.85
